campaign_id,date,channel,campaign_type,campaign_name,spend,clicks,impressions,conversions,revenue,cpc_reported
1100,2026-07-01,TikTok Ads,Notoriete,TikTok_Notoriete_202607_1100,"EUR 2,094.18",5553,214249,69,1901.01,
1005,2025-09-01,Meta Ads,Notoriete,Meta_Notoriete_202509_1005,1342.43,2234,91124,32,2512.4,0.601
1078,2026-05-01,Meta Ads,Conversion,Meta_Conversion_202605_1078,4099.41,7746,361054,317,17495.96,0.529
1016,2025-10-01,Meta Ads,Conversion,Meta_Conversion_202510_1016,1644.82,2958,165417,113,7822.75,
1097,2026-07-01,Meta Ads,Notoriete,Meta_Notoriete_202607_1097,1512.52,2255,106718,52,2585.28,0.671
1042,2026-01-01,google ads,Conversion,Google_Conversion_202601_1042,"EUR 5,173.20",6407,112997,494,18944.73,0.807
1052,2026-02-01,Google Ads,Conversion,Google_Conversion_202602_1052,2258.67,2853,62060,202,6351.2,0.792
1046,2026-01-01,Tik Tok Ads,Notoriete,TikTok_Notoriete_202601_1046,1116.45€,3546,119204,39,235.07,
1105,2026-08-01,Meta Ads,Notoriete,Meta_Notoriete_202608_1105,2493.47,5104,340295,86,3347.01,0.488
1053,2026-02-01,Meta Ads,Notoriete,Meta_Notoriete_202602_1053,1718.3,2896,137218,62,4429.19,0.593
1027,2025-11-01,TikTok Ads,Notoriete,TikTok_Notoriete_202511_1027,948.12,2879,102926,24,1427.03,0.329
1098,2026-07-01,META ADS,Notoriete,Meta_Notoriete_202607_1098,1446.35,2429,126186,55,3981.46,0.595
1044,2026-01-01,Meta Ads,Conversion,Meta_Conversion_202601_1044,1850.02,3462,140247,117,7912.4,0.534
1025,2025-11-01,Meta Ads,Conversion,Meta_Conversion_202511_1025,3512.25,5477,252221,225,11244.62,0.641
1071,2026-04-01,Meta Ads,Conversion,Meta_Conversion_202604_1071,2514.49,5350,325243,206,11755.93,0.47
1107,2026-08-01,Meta Ads,Conversion,Meta_Conversion_202608_1107,1682.52€,2564,105082,98,6332.77,0.656
1050,2026-02-01,Google Ads,Notoriete,Google_Notoriete_202602_1050,4483.97,4316,112666,166,10068.92,1.039
1022,2025-11-01,Google Ads,Conversion,Google_Conversion_202511_1022,2657.32,2724,67248,183,7961.79,0.975
1004,2025-09-01,Meta Ads,Notoriete,Meta_Notoriete_202509_1004,1419.06,2446,112974,48,2982.11,0.58
1031,2025-12-01,Google Ads,Conversion,Google_Conversion_202512_1031,2192.96,1872,30246,156,6003.89,
1084,2026-06-01,Google Ads,Notoriete,Google_Notoriete_202606_1084,2325.27,3241,139188,102,4204.45,0.717
1048,2026-01-01,TikTok Ads,Conversion,TikTok_Conversion_202601_1048,792.05,2144,65483,56,1632.79,0.369
1086,2026-06-01,Meta Ads,Notoriete,Meta_Notoriete_202606_1086,4433.07,7857,421271,126,6087.19,0.564
1009,2025-09-01,TikTok Ads,Conversion,TikTok_Conversion_202509_1009,EUR 867.57,2278,71225,49,1323.63,0.381
1061,2026-03-01,Google Ads,Conversion,Google_Conversion_202603_1061,3125.9,3876,122239,287,11378.63,0.806
1001,2025-09-01,Google Ads,Notoriete,Google_Notoriete_202509_1001,"EUR 3,945.56",4067,148210,145,6515.83,0.97
1104,2026-08-01,Google Ads,Conversion,Google_Conversion_202608_1104,2355.83,2793,63072,181,7692.89,
1058,2026-03-01,Google Ads,Notoriete,Google_Notoriete_202603_1058,2100.7,3176,85822,98,5361.56,0.661
1023,2025-11-01,Meta Ads,Notoriete,Meta_Notoriete_202511_1023,1689.17,3552,149707,59,3889.45,0.476
1062,2026-03-01,Meta Ads,Notoriete,Meta_Notoriete_202603_1062,3835.19€,5394,190547,84,11186.98,0.711
1064,2026-03-01,TikTok Ads,Notoriete,TikTok_Notoriete_202603_1064,1076.97,2384,69720,27,936.99,0.452
1008,2025-09-01,TikTok Ads,Notoriete,TikTok_Notoriete_202509_1008,1669.42,4975,136782,57,706.99,
1110,2026-08-01,TikTok Ads,Conversion,TikTok_Conversion_202608_1110,878.51,2123,162905,56,1135.72,0.414
1014,2025-10-01,Meta Ads,Notoriete,Meta_Notoriete_202510_1014,3409.49,6571,260785,128,6176.32,0.519
1087,2026-06-01,Meta Ads,Conversion,Meta_Conversion_202606_1087,2067.55,2943,152460,110,8679.55,0.702
1089,2026-06-01,TikTok Ads,Notoriete,TikTok_Notoriete_202606_1089,1127.06,4327,228309,58,225.41,
1088,2026-06-01,Meta Ads,Conversion,Meta_Conversion_202606_1088,1761.18,3119,125512,119,6807.55,0.565
1069,2026-04-01,Google Ads,Conversion,Google_Conversion_202604_1069,"EUR 2,812.46",4271,233142,320,9598.31,0.658
1099,2026-07-01,Meta Ads,Conversion,Meta_Conversion_202607_1099,2924.03,8019,334027,316,8339.61,0.365
1015,2025-10-01,Meta Ads,Conversion,Meta_Conversion_202510_1015,1252.73,2399,102691,84,5018.11,0.522
1030,2025-12-01,Google Ads,Notoriete,Google_Notoriete_202512_1030,2277.97,2992,69605,100,3577.47,0.761
1029,2025-12-01,Google Ads,Notoriete,Google_Notoriete_202512_1029,2645.71,3098,76225,96,5657.42,0.854
1012,2025-10-01,Google Ads,Conversion,Google_Conversion_202510_1012,2057.02,2255,55302,161,7006.79,0.912
1085,2026-06-01,Google Ads,Conversion,Google_Conversion_202606_1085,3645.97,4481,103509,302,12518.74,0.814
1019,2025-10-01,TikTok Ads,Conversion,TikTok_Conversion_202510_1019,747.11,2038,62336,47,1369.1,0.366
1021,2025-11-01,Google Ads,Conversion,Google_Conversion_202511_1021,1805.96,2515,84035,187,6046.78,0.718
1051,2026-02-01,Google Ads,Conversion,Google_Conversion_202602_1051,3039.6,3168,60255,206,9660.45,0.959
1026,2025-11-01,TikTok Ads,Notoriete,TikTok_Notoriete_202511_1026,1197.08,3514,135916,40,1800.87,0.341
1007,2025-09-01,Meta Ads,Conversion,Meta_Conversion_202509_1007,1377.57,2273,112134,97,4234.06,0.606
1072,2026-04-01,Meta Ads,Conversion,Meta_Conversion_202604_1072,"EUR 1,942.88",2861,154207,86,8209.83,0.679
1077,2026-05-01,Meta Ads,Notoriete,Meta_Notoriete_202605_1077,3505.52,6198,436248,118,5345.39,0.566
1002,2025-09-01,Google Ads,Conversion,Google_Conversion_202509_1002,2424.29€,2824,51210,200,8191.82,0.858
1017,2025-10-01,TikTok Ads,Notoriete,TikTok_Notoriete_202510_1017,1523.34,4213,118304,42,2322.57,0.362
1065,2026-03-01,TikTok Ads,Notoriete,TikTok_Notoriete_202603_1065,1195.98,3126,119769,35,1213.59,
1080,2026-05-01,TIKTOK ADS,Notoriete,TikTok_Notoriete_202605_1080,769.73,2348,93602,30,610.28,0.328
1006,2025-09-01,Meta Ads,Conversion,Meta_Conversion_202509_1006,1538.9,2587,149210,111,6148.33,0.595
1076,2026-05-01,Google Ads,Conversion,Google_Conversion_202605_1076,4334.22,4855,106796,327,15207.87,
1010,2025-09-01,TikTok Ads,Conversion,TikTok_Conversion_202509_1010,885.03,3127,144410,56,1537.6,0.283
1073,2026-04-01,TikTok Ads,Notoriete,TikTok_Notoriete_202604_1073,2436.9,7893,425366,96,2314.5,0.309
1013,2025-10-01,google ads,Conversion,Google_Conversion_202510_1013,1978.62,0,56116,172,5514.51,0.796
1108,2026-08-01,TikTok Ads,Notoriete,TikTok_Notoriete_202608_1108,1715.1,5409,181850,56,1900.54,
1038,2025-12-01,TikTok Ads,Notoriete,TikTok_Notoriete_202512_1038,1200.72,3242,136638,33,748.23,0.37
